pr1,AUC1,time
0.000000,0.500000,23.274810
0.000000,1.000000,26.104670
0.000000,0.500000,31.087782
0.000000,1.000000,30.864027
0.000000,0.500000,30.200025
0.000000,0.500000,26.499108
0.000000,1.000000,25.526667
0.000000,0.500000,25.921464
0.000000,0.500000,28.447627
0.000000,0.500000,30.050335
