pr1,AUC1,time
0.000000,1.000000,47.117541
0.000000,1.000000,49.875813
0.000000,1.000000,51.102101
0.000000,0.500000,52.491539
0.000000,0.500000,52.300844
0.000000,1.000000,56.674911
0.000000,0.000000,53.201804
0.000000,0.500000,57.526219
0.000000,0.500000,52.423263
0.000000,1.000000,56.319168
