pr1,AUC1,time
0.000000,0.000000,10.356506
0.000000,1.000000,10.716326
0.000000,0.500000,11.465156
0.000000,1.000000,11.618255
0.000000,0.500000,11.683503
0.000000,1.000000,11.840376
0.000000,0.500000,11.818769
0.000000,1.000000,13.930810
0.000000,0.500000,11.930920
0.000000,1.000000,11.713973
